FID,OBJECTID,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAM,POINT_X,POINT_Y
82,83,6521.000000000000000,WELLS,52ND STREET,SB,NS,24, ,CHICAGO,1,Wells & 52nd Street,-87.632012000000003,41.800184999999999
83,84,7473.000000000000000,31ST STREET,MORGAN,EB,NS,31, ,CHICAGO,1,31st Street & Morgan,-87.651175859999995,41.837913460000003
84,85,8093.000000000000000,47TH STREET,ROCKWELL,WB,NS,"47,94", ,CHICAGO,1,47th Street & Rockwell,-87.689213379999998,41.808420820000002
85,86,9329.000000000000000,BELMONT,LARAMIE,WB,NS,77,N77,CHICAGO,1,Belmont & Laramie,-87.756496270000000,41.938771619999997
86,87,6823.000000000000000,18TH STREET,WESTERN,WB,NS,18, ,CHICAGO,1,18th Street & Western,-87.685682740000004,41.857329219999997
87,88,8782.000000000000000,DAMEN,63RD STREET,SB,NS,48, ,CHICAGO,1,Damen & 63rd Street,-87.673994080000000,41.779435820000003
88,89,1818.000000000000000,CLARK,IRVING PARK,SB,NS,22,N22,CHICAGO,1,Clark & Irving Park,-87.662432859999996,41.954497340000003
89,90,9036.000000000000000,PULASKI,JACKSON,SB,NS,53,N53,CHICAGO,1,Pulaski & Jackson,-87.725642329999999,41.877170049999997
90,91,5855.000000000000000,HALSTED,71ST STREET,SB,NS,8, ,CHICAGO,1,Halsted & 71st Street,-87.644471999999993,41.765332000000001
91,92,3834.000000000000000,LARAMIE,AUGUSTA,SB,NS,57, ,CHICAGO,1,Laramie & Augusta,-87.755751000000004,41.898663999999997
92,93,4687.000000000000000,63RD STREET,74TH AVENUE,WB,NS,"62H,63W", ,SUMMIT,1,63rd Street & 74th Avenue,-87.805665270000006,41.777261230000001
93,94,12377.000000000000000,111TH STREET,SPAULDING,WB,NS,112, ,CHICAGO,1,111th Street & Spaulding,-87.703257219999998,41.691590589999997
94,95,10126.000000000000000,71ST STREET,LAWNDALE,WB,NS,67, ,CHICAGO,1,71st Street & Lawndale,-87.714905990000005,41.764247480000002
95,96,1758.000000000000000,DEVON,LAKEWOOD,WB,NS,"36,151,155", ,CHICAGO,1,Devon & Lakewood,-87.662921679999997,41.998238890000003
96,97,10879.000000000000000,75TH STREET,EBERHART,WB,NS,75, ,CHICAGO,1,75th Street & Eberhart,-87.612551800000006,41.758512289999999
97,98,9302.000000000000000,BELMONT,LAKEWOOD (west leg),WB,NS,77,N77,CHICAGO,1,Belmont & Lakewood,-87.661233830000000,41.939874830000001
